$GPRMC,140053,A,4454.174,N,9325.0143,W,0,128.7,300508,1.1,E,A*2E,,,,,,,
$GPGGA,140053,4454.174,N,9325.0143,W,1,9,1.1,289.8,M,-30.7,M,,*5E,,,,,
$GPGSA,A,3,21,15,18,24,26,29,6,22,,3,,,2,1.1,01.7*04,,
$GPGSV,3,1,12,21,75,306,40,15,59,75,46,18,57,269,49,24,56,115,46*79
$GPGSV,3,2,12,26,48,59,43,29,27,188,48,6,25,308,41,22,18,257,33*7D
$GPGSV,3,3,12,8,14,60,,3,11,320,32,9,6,144,,16,4,311,*7C
$GPRMC,140054,A,4454.174,N,9325.0143,W,0,128.7,300508,1.1,E,A*29,,,,,,,
$GPGGA,140054,4454.174,N,9325.0143,W,1,9,1.1,289.8,M,-30.7,M,,*59,,,,,
$GPGSA,A,3,21,15,18,24,26,29,6,22,,3,,,2,1.1,01.7*04,,
$GPGSV,3,1,12,21,75,306,40,15,59,75,46,18,57,269,49,24,56,115,46*79
$GPGSV,3,2,12,26,48,59,43,29,27,188,48,6,25,308,41,22,18,257,33*7D
$GPGSV,3,3,12,8,14,60,,3,11,320,32,9,6,144,,16,4,311,*7C
$GPRMC,140055,A,4454.174,N,9325.0143,W,0,128.7,300508,1.1,E,A*28,,,,,,,
$GPGGA,140055,4454.174,N,9325.0143,W,1,9,1.1,289.8,M,-30.7,M,,*58,,,,,
$GPGSA,A,3,21,15,18,24,26,29,6,22,,3,,,2,1.1,01.7*04,,
$GPGSV,3,1,12,21,75,306,40,15,59,75,46,18,57,269,49,24,56,115,46*79
$GPGSV,3,2,12,26,48,59,43,29,27,188,48,6,25,308,41,22,18,257,33*7D
$GPGSV,3,3,12,8,14,60,,3,11,320,32,9,6,144,,16,4,311,*7C
$GPRMC,140056,A,4454.174,N,9325.0143,W,0,128.7,300508,1.1,E,A*2B,,,,,,,
$GPGGA,140056,4454.174,N,9325.0143,W,1,9,1.1,289.8,M,-30.7,M,,*5B,,,,,
$GPGSA,A,3,21,15,18,24,26,29,6,22,,3,,,2,1.1,01.7*04,,
$GPGSV,3,1,12,21,75,306,40,15,59,75,46,18,57,269,49,24,56,115,46*79
$GPGSV,3,2,12,26,48,59,43,29,27,188,48,6,25,308,41,22,18,257,33*7D
$GPGSV,3,3,12,8,14,60,,3,11,320,32,9,6,144,,16,4,311,*7C
$GPRMC,140057,A,4454.174,N,9325.0143,W,0,128.7,300508,1.1,E,A*2A,,,,,,,
